UNSPECIFIED/INTERNATIONAL,8607
"ALBERTA,CANADA",537
ALASKA,556
ALABAMA,1078
ARKANSAS,944
ARIZONA,3990
"BRITISH COLUMBIA,CAN",1027
CALIFORNIA,13468
COLORADO,2477
CONNECTICUT,1522
DISTRICT OF COLUMBIA,136
DELAWARE,314
FLORIDA,6451
GEORGIA,2119
HAWAII,527
IOWA,997
IDAHO,947
ILLINOIS,3592
INDIANA,2019
KANSAS,948
KENTUCKY,1335
LOUISIANA,921
MASSACHUSETTS,2095
"MANITOBA,CANADA",219
MARYLAND,1474
MAINE,931
MICHIGAN,2976
MINNESOTA,1653
MISSOURI,2265
MISSISSIPPI,632
MONTANA,810
"NEW BRUNSWICK,CAN",178
NORTH CAROLINA,2931
NORTH DAKOTA,209
NEBRASKA,566
"NEWFOUNDLAND,CAN",40
NEW HAMPSHIRE,892
NEW JERSEY,2243
NEW MEXICO,1299
"NOVA SCOTIA,CAN",200
NORTHWEST TERRITORY,24
NEVADA,1370
NEW YORK,4667
OHIO,3543
OKLAHOMA,1148
"ONTARIO,CAN",2092
OREGON,2826
PENNSYLVANIA,3844
PRINCE EDW ISLAND,24
"PROV OF QUE,CAN",102
PUERTO RICO,37
QC,249
RHODE ISLAND,488
"SASKATCHEWAN,CAN",40
SOUTH CAROLINA,1788
SOUTH DAKOTA,313
SK,150
TENNESSEE,1809
TEXAS,4928
UTAH,1156
VIRGINIA,2114
VIRGIN ISLANDS,2
VERMONT,480
WASHINGTON,5860
WISCONSIN,1959
WEST VIRGINIA,727
WYOMING,323
YUKON,6
YT,21
